match_type,date,english_name,url,language,display_order,source_file,notes,description_mode,site_label,link_description
exact_date_and_name,2-Jul,The Visitation,https://www.pauline.or.jp/calendariosanti/gen_saint365.php?id=053101,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 130,localized_summary,Laudate,
exact_date_and_name,3-Jul,St. Irenaeus,https://www.pauline.or.jp/calendariosanti/gen_saint50.php?id=062801,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 131,localized_summary,Laudate,
exact_date_and_name,5-Jul,St. Anthony Mary Zaccaria,https://www.pauline.or.jp/calendariosanti/gen_saint50.php?id=070501,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 132,localized_summary,Laudate,
exact_date_and_name,7-Jul,SS. Cyril and Methodius,https://www.pauline.or.jp/calendariosanti/gen_saint365.php?id=021401,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 133,localized_summary,Laudate,
exact_date_and_name,8-Jul,St. Elizabeth,https://www.pauline.or.jp/calendariosanti/gen_saint50.php?id=070401,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 134,localized_summary,Laudate,
exact_date_and_name,9-Jul,St. Thomas More,https://www.pauline.or.jp/calendariosanti/gen_saint50.php?id=062202,ja,1,Google_Calendar_revision_5_20260811,approved Japanese explanatory link,localized_summary,Laudate,聖トマス・モア
exact_date_and_name,12-Jul,St. John Gualbert,https://www.pauline.or.jp/calendariosanti/gen_saint365.php?id=071201,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 137,localized_summary,Laudate,
exact_date_and_name,14-Jul,St. Bonaventure,https://www.pauline.or.jp/calendariosanti/gen_saint365.php?id=071501,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 138,localized_summary,Laudate,
exact_date_and_name,15-Jul,St. Henry,https://www.pauline.or.jp/calendariosanti/gen_saint365.php?id=071301,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 139,localized_summary,Laudate,
exact_date_and_name,16-Jul,Our Lady of Mt. Carmel,https://www.pauline.or.jp/calendariosanti/gen_saint365.php?id=071601,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 140,localized_summary,Laudate,
